study_hours,sleep_hours,attendance,phone_usage,exam_score
4.4,8.1,97.0,3.7,97.0
9.6,8.5,97.7,5.5,100.0
7.6,5.9,95.7,4.2,100.0
6.4,5.0,68.5,4.8,75.6
2.4,5.5,50.8,7.6,51.9
2.4,6.4,96.4,3.7,79.9
1.5,8.2,71.4,7.7,67.2
8.8,8.4,98.3,7.3,98.6
6.4,4.5,98.2,2.4,92.8
7.4,6.8,92.7,1.5,100.0
1.2,6.4,64.7,1.7,57.3
9.7,5.5,69.3,1.1,100.0
8.5,5.0,92.6,1.7,100.0
2.9,6.0,65.8,5.8,62.9
2.6,8.7,58.5,1.5,75.5
2.7,6.0,77.8,3.2,80.5
3.7,6.8,96.8,6.9,81.3
5.7,7.7,84.8,1.2,94.6
4.9,6.1,78.5,6.7,70.4
3.6,8.9,54.9,3.0,75.4
6.5,8.8,80.8,1.8,94.1
2.3,5.6,99.5,5.9,80.2
3.6,6.7,57.0,5.4,68.7
4.3,5.9,75.9,7.1,67.1
5.1,5.8,93.9,6.1,75.4
8.1,4.7,87.0,6.6,93.9
2.8,7.2,84.9,3.0,78.9
5.6,6.8,85.1,2.2,97.3
6.3,4.7,68.0,6.3,67.3
1.4,5.8,64.7,6.6,50.8
6.5,8.6,90.5,7.9,87.8
2.5,5.6,90.5,3.9,75.1
1.6,5.2,93.4,3.6,70.5
9.5,6.7,95.7,6.4,100.0
9.7,8.9,75.6,3.4,100.0
8.3,5.6,75.1,7.5,83.3
3.7,7.5,89.9,7.0,76.3
1.9,7.9,82.5,4.0,75.5
7.2,5.6,85.1,6.3,89.3
5.0,7.8,89.8,6.3,79.1
2.1,6.2,94.5,1.7,75.5
5.5,7.3,66.9,7.3,77.7
1.3,7.4,68.8,4.5,64.2
9.2,6.9,54.7,6.8,80.4
3.3,4.9,78.9,3.2,80.0
7.0,8.3,51.8,7.3,75.0
3.8,5.9,73.3,3.7,79.0
5.7,5.3,77.1,1.1,89.4
5.9,4.7,64.3,7.3,76.2
2.7,7.2,79.5,1.6,87.2
9.7,7.5,51.5,3.2,93.4
8.0,4.6,51.9,7.7,74.2
9.5,6.8,91.1,7.7,100.0
9.1,5.5,68.0,5.0,95.8
6.4,7.4,56.4,5.4,73.0
9.3,5.3,76.1,4.1,99.1
1.8,7.6,88.5,3.1,81.4
2.8,6.2,60.8,3.3,59.4
1.4,8.7,81.1,5.7,63.4
3.9,5.1,54.3,6.3,50.5
4.5,6.0,52.6,6.5,60.7
3.4,5.0,76.6,6.5,68.1
8.5,8.7,77.0,1.6,100.0
4.2,8.4,81.9,4.5,82.9
3.5,5.7,86.3,1.4,90.4
5.9,7.5,98.8,4.8,88.8
2.3,8.2,75.8,4.1,65.8
8.2,7.0,66.1,7.2,83.0
1.7,6.9,89.8,3.5,76.4
9.9,5.6,63.5,1.8,99.8
8.0,4.9,71.9,2.0,85.3
2.8,8.5,53.9,6.3,60.3
1.0,8.6,51.3,5.3,49.5
8.3,7.3,98.1,1.7,100.0
7.4,6.0,91.8,1.6,100.0
7.6,6.1,84.8,5.9,86.2
7.9,7.8,70.4,1.5,97.5
1.7,8.5,58.7,6.8,52.6
4.2,8.5,57.8,5.9,68.9
2.0,8.0,62.5,1.6,75.5
8.8,7.4,77.5,1.6,100.0
6.6,4.9,85.7,7.9,80.8
4.0,5.2,83.0,3.6,75.9
1.6,8.5,64.0,3.6,63.4
3.8,7.2,97.7,6.7,79.2
3.9,4.5,86.9,7.6,63.7
7.6,5.0,77.7,7.9,77.6
6.7,7.5,80.6,6.3,81.5
9.0,4.5,71.0,3.6,100.0
5.2,5.2,62.4,1.6,79.6
2.1,7.0,67.8,6.4,57.5
7.4,7.6,87.9,4.9,96.8
7.8,7.4,50.7,4.0,83.4
6.1,5.5,55.8,7.3,65.9
7.9,7.7,52.3,1.8,93.5
5.4,5.6,52.0,4.4,72.8
5.7,6.0,92.8,1.1,95.0
4.8,7.9,85.2,4.3,83.7
1.2,7.4,73.7,1.4,71.2
2.0,8.3,54.9,1.8,59.4
1.3,7.5,74.6,1.8,66.2
6.7,7.1,73.7,5.5,90.0
3.8,4.9,58.7,6.2,66.5
5.6,6.2,71.7,5.1,77.3
9.2,5.7,69.9,7.7,87.5
3.2,5.6,80.8,3.6,75.8
4.7,8.9,81.8,3.0,100.0
7.8,6.3,52.3,7.1,79.1
3.1,8.5,68.7,2.6,76.9
1.7,7.3,81.3,7.7,57.8
3.6,8.1,75.2,1.1,78.7
2.5,6.8,92.8,7.8,69.4
9.4,7.1,82.9,1.3,100.0
8.3,6.7,58.1,7.2,74.0
6.7,5.4,53.5,4.7,72.1
8.8,7.8,82.1,8.0,87.7
8.2,5.8,51.3,1.5,95.6
2.7,4.6,79.3,4.9,70.1
9.0,7.4,97.0,7.8,98.8
5.9,5.3,78.8,4.7,87.6
